Name ,Team,Position,KDA Ratio,Kills(Total),Deaths(Total),Assists(Total),Kill Participation,CS(Per Minute),CS(Total),Minutes Played,Games Played
Rookie,IG,Mid,9.2,44,14,85,0.69,8.6,2996,346,11
Baolan,IG,Support,9.1,12,15,124,0.73,1.4,474,346,11
iBoy,EDG,ADC,7,14,5,21,0.73,10,1344,134,4
Rekkles,FNC,ADC,6.8,33,13,55,0.70,10.1,3173,313,10
JackeyLove,IG,ADC,6.5,59,19,64,0.66,10.5,3634,346,11
Ning,IG,Jungle,5.9,34,21,89,0.66,5.5,1901,346,11
Hjärnan,G2,ADC,4.6,18,11,33,0.61,10.2,2506,246,8
TheShy,IG,Top,4.5,38,24,71,0.59,9.2,2848,310,10
Broxah,FNC,Jungle,4.5,31,20,59,0.71,5.2,1625,313,10
Scout,EDG,Mid,4.2,17,9,21,0.79,8.4,1123,134,4
Haro,EDG,Jungle,3.8,9,8,21,0.63,4.9,658,134,4
Deft,KT,ADC,3.6,12,9,20,0.78,10.7,1876,176,5
Meiko,EDG,Support,3.4,3,9,28,0.65,1.3,176,134,4
Sneaky,C9,ADC,3.4,15,14,33,0.66,9.7,1815,187,6
Score,KT,Jungle,3.2,13,10,19,0.78,5,880,176,5
Svenskeren,C9,Jungle,3.1,26,17,27,0.73,5.7,1055,187,6
Zeyzal,C9,Support,3,4,18,50,0.74,2,377,187,6
Jankos,G2,Jungle,3,17,21,45,0.74,4.8,1188,246,8
Perkz,G2,Mid,2.8,28,19,26,0.64,9.4,2315,246,8
Wadid,G2,Support,2.7,2,20,52,0.64,1.5,359,246,8
Xiaohu,RNG,Mid,2.7,7,9,17,0.71,8.6,1378,161,5
Jensen,C9,Mid,2.5,19,19,29,0.66,8.9,1670,187,6
Kramer,AFS,ADC,2.5,11,8,9,0.65,8.9,838,94,3
Letme,RNG,Top,2.5,5,8,15,0.59,7.4,1197,161,5
Caps,FNC,Mid,2.5,30,35,57,0.69,8.2,2575,313,10
Ray,EDG,Top,2.3,5,10,18,0.48,7.7,1039,134,4
Uzi,RNG,ADC,2.3,14,11,11,0.74,11.4,1832,161,5
Hylissang,FNC,Support,2.3,4,36,77,0.64,1.1,337,313,10
Wunder,G2,Top,2.2,19,19,22,0.49,9.3,2290,246,8
Bwipo,FNC,Top,2.1,26,33,44,0.61,8,2297,288,9
Smeb,KT,Top,2.1,8,13,19,0.66,8.4,1485,176,5
Karsa,RNG,Jungle,2,8,11,14,0.79,5.4,666,122,4
Kiin,AFS,Top,2,8,10,12,0.65,8.9,837,94,3
sOAZ,FNC,Top,2,2,3,4,0.50,7.6,194,26,1
Kuro,AFS,Mid,1.8,8,8,6,0.45,8,745,94,3
Spirit,AFS,Jungle,1.7,2,7,10,0.60,3.5,226,64,2
Mlxg,RNG,Jungle,1.7,0,3,5,0.83,3.9,151,39,1
TusiN,AFS,Support,1.7,1,12,19,0.65,1.1,107,94,3
Licorice,C9,Top,1.6,9,23,28,0.51,7.7,1446,187,6
Mata,KT,Support,1.6,1,18,27,0.68,1.8,310,176,5
Ming,RNG,Support,1.4,0,16,23,0.68,1,163,161,5
Ucal,KT,Mid,1.4,7,14,13,0.49,8.1,1422,176,5
Mowgli,AFS,Jungle,1.3,1,3,3,0.36,3.9,117,30,1
Duke,IG,Top,0,0,1,0,0.00,9.2,334,36,1
